event_id,name,college_name,techfest_name,city,category,subcategory,event_type,min_team_size,max_team_size,team_possible,price,prize_pool,start_date,end_date,duration_days,description,tags,rating,popularity,college_rating,college_category,registration_link,contact_email,coordinates
1,Web Dev Workshop @ Techyon,WCE Sangli,Techyon,Sangli,Workshop,Web Dev Workshop,Team,3,5,True,2864,0,2026-08-10,2026-08-12,2,💡 Web Dev Workshop at Techyon - WCE Sangli. Compete in this workshop event and win exciting prizes! Open for all engineering students.,"Workshop, Web Dev Workshop, Highly Reputed, Techyon, team-event",4.0,4.6,4.3,Highly Reputed,https://techyon.wce.ac.in/events/1,events@techyon.wce.ac.in,"16.8637° N, 74.5696° E"
2,Sustainable Design @ T-Spectra,TSEC Mumbai,T-Spectra,Mumbai,Civil,Sustainable Design,Solo,1,1,False,347,10000,2026-10-01,2026-10-02,1,🎯 TSEC Mumbai presents Sustainable Design - an exciting civil event at T-Spectra! Test your skills and compete with the best minds from across Maharashtra.,"Civil, Sustainable Design, Notable, T-Spectra, solo-event",3.8,3.8,3.9,Notable,https://tsec.edu.in/t-spectra/events/2,events@tsec.edu.in/t-spectra,"19.0760° N, 72.8777° E"
3,Building Design @ SGGSTech,SGGSIE&T Nanded,SGGSTech,Nanded,Civil,Building Design,Team,3,5,True,756,6000,2026-07-02,2026-07-03,1,💡 Building Design at SGGSTech - SGGSIE&T Nanded. Compete in this civil event and win exciting prizes! Open for all engineering students.,"Civil, Building Design, Other Notable, SGGSTech, team-event",3.6,3.8,3.8,Other Notable,https://sggs.ac.in/techfest/events/3,events@sggs.ac.in/techfest,"19.1383° N, 77.3210° E"
4,Line Follower @ Vishwaraj,VIIT Pune,Vishwaraj,Pune,Robotics,Line Follower,Solo,1,1,False,1217,10000,2026-06-15,2026-06-17,2,💡 Line Follower at Vishwaraj - VIIT Pune. Compete in this robotics event and win exciting prizes! Open for all engineering students.,"Robotics, Line Follower, Notable, Vishwaraj, solo-event",4.1,3.7,3.9,Notable,https://viitpune.edu.in/vishwaraj/events/4,events@viitpune.edu.in/vishwaraj,"18.5204° N, 73.8567° E"
5,Model Making @ Cumminspark,Cummins Pune,Cumminspark,Pune,Competition,Model Making,Both,1,4,True,190,20000,2026-08-12,2026-08-13,1,💡 Model Making at Cumminspark - Cummins Pune. Compete in this competition event and win exciting prizes! Open for all engineering students.,"Competition, Model Making, Highly Reputed, Cumminspark, team-event",4.4,4.2,4.2,Highly Reputed,https://cumminspark.edu.in/events/5,events@cumminspark.edu.in,"18.5204° N, 73.8567° E"
6,Logo Design @ RSCOE Techfest,RSCOE Pune,RSCOE Techfest,Pune,Design,Logo Design,Solo,1,1,False,168,1000,2026-07-19,2026-07-20,1,💡 Logo Design at RSCOE Techfest - RSCOE Pune. Compete in this design event and win exciting prizes! Open for all engineering students.,"Design, Logo Design, Other Notable, RSCOE Techfest, solo-event",3.8,4.2,3.8,Other Notable,https://rscoe.edu.in/techfest/events/6,events@rscoe.edu.in/techfest,"18.5204° N, 73.8567° E"
7,Web Dev Battle @ Impulse,SPIT Mumbai,Impulse,Mumbai,Coding,Web Dev Battle,Solo,1,1,False,204,25000,2026-08-21,2026-08-22,1,🎯 Solo event - Individual participation only. Showcase your personal skills in Coding!,"Coding, Web Dev Battle, Highly Reputed, Impulse, solo-event",4.3,4.5,4.4,Highly Reputed,https://spitimpulse.in/events/7,events@spitimpulse.in,"19.0760° N, 72.8777° E"
8,AI Challenge @ VESITech,VESIT Mumbai,VESITech,Mumbai,Coding,AI Challenge,Both,1,3,True,120,10000,2026-09-04,2026-09-07,3,🎯 VESIT Mumbai presents AI Challenge - an exciting coding event at VESITech! Test your skills and compete with the best minds from across Maharashtra.,"Coding, AI Challenge, Notable, VESITech, team-event",3.8,4.2,3.9,Notable,https://vesit.edu.in/techfest/events/8,events@vesit.edu.in/techfest,"19.0760° N, 72.8777° E"
9,Innovation Challenge @ Momentum,ICT Mumbai,Momentum,Mumbai,Technical Paper,Innovation Challenge,Both,1,2,True,213,5000,2026-05-23,2026-05-25,2,Join us for Innovation Challenge at ICT Mumbai's Momentum! This technical paper event challenges participants to showcase their expertise in technical paper domain.,"Technical Paper, Innovation Challenge, Premier Institute, Momentum, team-event",4.3,4.7,4.6,Premier Institute,https://momentum.ictmumbai.edu.in/events/9,events@momentum.ictmumbai.edu.in,"19.0760° N, 72.8777° E"
10,Research Paper @ Yantra,Ramdeobaba Nagpur,Yantra,Nagpur,Technical Paper,Research Paper,Team,3,3,True,30,2000,2026-06-19,2026-06-21,2,🚀 Ramdeobaba Nagpur invites you to participate in Research Paper during Yantra. A perfect platform for technical paper enthusiasts to demonstrate their talents.,"Technical Paper, Research Paper, Notable, Yantra, team-event",3.8,4.0,4.0,Notable,https://rknpec.edu.in/yantra/events/10,events@rknpec.edu.in/yantra,"21.1458° N, 79.0882° E"
11,Circuit Design @ Symbiosis Techfest,SIT Pune,Symbiosis Techfest,Pune,Electronics,Circuit Design,Team,2,3,True,370,4000,2026-10-16,2026-10-18,2,🎯 SIT Pune presents Circuit Design - an exciting electronics event at Symbiosis Techfest! Test your skills and compete with the best minds from across Maharashtra.,"Electronics, Circuit Design, Highly Reputed, Symbiosis Techfest, team-event",4.0,4.2,4.1,Highly Reputed,https://sitpune.edu.in/techfest/events/11,events@sitpune.edu.in/techfest,"18.5204° N, 73.8567° E"
12,Web Dev Battle @ Bharati Techfest,BVUCOE Pune,Bharati Techfest,Pune,Coding,Web Dev Battle,Both,1,4,True,191,3000,2026-07-01,2026-07-04,3,🤝 Open for both solo and team participation!,"Coding, Web Dev Battle, Notable, Bharati Techfest, team-event",4.0,3.8,3.9,Notable,https://bvucoepune.edu.in/techfest/events/12,events@bvucoepune.edu.in/techfest,"18.5204° N, 73.8567° E"
13,Hackathon @ Pillai Techfest,Pillai Panvel,Pillai Techfest,Panvel,Coding,Hackathon,Team,3,4,True,34,25000,2026-06-17,2026-06-20,3,👥 Team event - Form your dream team and compete together!,"Coding, Hackathon, Other Notable, Pillai Techfest, team-event",3.8,4.0,3.7,Other Notable,https://pillai.edu.in/techfest/events/13,events@pillai.edu.in/techfest,"18.9920° N, 73.1120° E"
14,Research Paper @ Vihaan,VIT Pune,Vihaan,Pune,Technical Paper,Research Paper,Team,3,3,True,162,10000,2026-05-11,2026-05-14,3,🚀 VIT Pune invites you to participate in Research Paper during Vihaan. A perfect platform for technical paper enthusiasts to demonstrate their talents.,"Technical Paper, Research Paper, Highly Reputed, Vihaan, team-event",4.5,4.6,4.2,Highly Reputed,https://vihaan.vit.edu/events/14,events@vihaan.vit.edu,"18.5204° N, 73.8567° E"
15,AI/ML Workshop @ MITE,MIT-WPU Pune,MITE,Pune,Workshop,AI/ML Workshop,Solo,1,1,False,2693,0,2026-07-04,2026-07-05,1,💡 AI/ML Workshop at MITE - MIT-WPU Pune. Compete in this workshop event and win exciting prizes! Open for all engineering students.,"Workshop, AI/ML Workshop, Highly Reputed, MITE, solo-event",3.9,4.3,4.2,Highly Reputed,https://mite.mitwpu.edu.in/events/15,events@mite.mitwpu.edu.in,"18.5204° N, 73.8567° E"
16,PCB Design @ Vihaan,VIT Pune,Vihaan,Pune,Electronics,PCB Design,Team,3,4,True,989,4000,2026-10-18,2026-10-20,2,🎯 VIT Pune presents PCB Design - an exciting electronics event at Vihaan! Test your skills and compete with the best minds from across Maharashtra.,"Electronics, PCB Design, Highly Reputed, Vihaan, team-event",4.3,4.5,4.2,Highly Reputed,https://vihaan.vit.edu/events/16,events@vihaan.vit.edu,"18.5204° N, 73.8567° E"
17,HR Summit @ MITE,MIT-WPU Pune,MITE,Pune,Management,HR Summit,Team,3,5,True,436,2000,2026-05-25,2026-05-28,3,🚀 MIT-WPU Pune invites you to participate in HR Summit during MITE. A perfect platform for management enthusiasts to demonstrate their talents.,"Management, HR Summit, Highly Reputed, MITE, team-event",4.0,4.2,4.2,Highly Reputed,https://mite.mitwpu.edu.in/events/17,events@mite.mitwpu.edu.in,"18.5204° N, 73.8567° E"
18,Quiz @ Sanskruti,KJ Somaiya Mumbai,Sanskruti,Mumbai,Competition,Quiz,Team,2,4,True,280,20000,2026-06-11,2026-06-13,2,🚀 KJ Somaiya Mumbai invites you to participate in Quiz during Sanskruti. A perfect platform for competition enthusiasts to demonstrate their talents.,"Competition, Quiz, Highly Reputed, Sanskruti, team-event",4.2,4.6,4.3,Highly Reputed,https://sanskruti.somaiya.edu/events/18,events@sanskruti.somaiya.edu,"19.0760° N, 72.8777° E"
19,Web Dev Battle @ Aaghaaz,IIIT Nagpur,Aaghaaz,Nagpur,Coding,Web Dev Battle,Team,3,3,True,19,10000,2026-09-01,2026-09-04,3,💡 Web Dev Battle at Aaghaaz - IIIT Nagpur. Compete in this coding event and win exciting prizes! Open for all engineering students.,"Coding, Web Dev Battle, Highly Reputed, Aaghaaz, team-event",4.0,4.5,4.3,Highly Reputed,https://aaghaaz.org/events/19,events@aaghaaz.org,"21.1458° N, 79.0882° E"
20,Pick and Place Robot @ Technovanza,AIT Pune,Technovanza,Pune,Robotics,Pick and Place Robot,Team,3,4,True,1105,50000,2026-07-26,2026-07-28,2,Join us for Pick and Place Robot at AIT Pune's Technovanza! This robotics event challenges participants to showcase their expertise in robotics domain.,"Robotics, Pick and Place Robot, Highly Reputed, Technovanza, team-event",4.3,4.3,4.1,Highly Reputed,https://aitpune.edu.in/technovanza/events/20,events@aitpune.edu.in/technovanza,"18.5204° N, 73.8567° E"
21,IoT Workshop @ Axis,VNIT Nagpur,Axis,Nagpur,Electronics,IoT Workshop,Team,3,3,True,1611,30000,2026-08-22,2026-08-25,3,👥 Team event - Form your dream team and compete together!,"Electronics, IoT Workshop, Premier Institute, Axis, team-event",4.9,4.9,4.7,Premier Institute,https://axisvnit.org/events/21,events@axisvnit.org,"21.1458° N, 79.0882° E"
22,Embedded Systems @ Vishwaraj,VIIT Pune,Vishwaraj,Pune,Electronics,Embedded Systems,Both,1,2,True,1265,15000,2026-06-24,2026-06-26,2,🚀 VIIT Pune invites you to participate in Embedded Systems during Vishwaraj. A perfect platform for electronics enthusiasts to demonstrate their talents.,"Electronics, Embedded Systems, Notable, Vishwaraj, team-event",4.0,4.0,3.9,Notable,https://viitpune.edu.in/vishwaraj/events/22,events@viitpune.edu.in/vishwaraj,"18.5204° N, 73.8567° E"
23,UI/UX Challenge @ PVG Techfest,PVGCOET Pune,PVG Techfest,Pune,Design,UI/UX Challenge,Solo,1,1,False,459,5000,2026-08-28,2026-08-30,2,🎯 PVGCOET Pune presents UI/UX Challenge - an exciting design event at PVG Techfest! Test your skills and compete with the best minds from across Maharashtra.,"Design, UI/UX Challenge, Other Notable, PVG Techfest, solo-event",3.9,3.6,3.7,Other Notable,https://pvgcoet.ac.in/techfest/events/23,events@pvgcoet.ac.in/techfest,"18.5204° N, 73.8567° E"
